timestamp_localtime,experiment,pioreactor_unit,timestamp,temperature_c
2023-11-28 18:00:32,Spirulina 003,pio001,2023-11-28T18:00:32.748376Z,32.48
2023-11-28 18:04:17,Spirulina 003,pio001,2023-11-28T18:04:17.748994Z,32.5
2023-11-28 18:08:02,Spirulina 003,pio001,2023-11-28T18:08:02.740575Z,32.47
2023-11-28 18:11:47,Spirulina 003,pio001,2023-11-28T18:11:47.741702Z,32.47
2023-11-28 18:15:32,Spirulina 003,pio001,2023-11-28T18:15:32.752185Z,32.48
2023-11-28 18:19:17,Spirulina 003,pio001,2023-11-28T18:19:17.758604Z,32.46
2023-11-28 18:23:02,Spirulina 003,pio001,2023-11-28T18:23:02.749328Z,32.46
2023-11-28 18:26:47,Spirulina 003,pio001,2023-11-28T18:26:47.751906Z,32.5
2023-11-28 18:30:32,Spirulina 003,pio001,2023-11-28T18:30:32.742980Z,32.49
2023-11-28 18:34:17,Spirulina 003,pio001,2023-11-28T18:34:17.740206Z,32.47
2023-11-28 18:38:02,Spirulina 003,pio001,2023-11-28T18:38:02.762907Z,32.5
2023-11-28 18:41:47,Spirulina 003,pio001,2023-11-28T18:41:47.745743Z,32.52
